Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Funicular,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
akan-royal-valley,Asia,Japan,Hokkaido,http://www.skiresort.info/ski-resort/akan-royal-valley/,100.0,0.5,0.5,0.0,,,,,,3200,0,0,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,
akazawa,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akazawa/,1043.0,0.2,1.0,0.8,,,0.0,,,0,0,0,-,1.3,1.6,2.9,,,,,,,,,,,,,,,,,0.0,,,,,
akhtamar-sevan,Asia,Armenia ,Gegharkunik,http://www.skiresort.info/ski-resort/akhtamar-sevan/,2249.0,2.0,0.5,0.0,,,0.0,,,0,0,0,-,1.3,1.3,3.0,,,,,,,,,,,,,,,,,,,,,,
akinomiya-ogachi,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akinomiya-ogachi/,0.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
akita-hachimantai,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akita-hachimantai/,1200.0,1.1,1.3,0.0,,,0.0,,,0,0,0,-,1.3,1.3,3.0,,,,,,,,,,,,,,,,,,,,,,
akitaken-tazawako,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akitaken-tazawako/,1186.0,6.0,6.0,8.0,,,,,,4000,2500,1000,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,
akmenynu,Europe,Lithuania,Marijampole,http://www.skiresort.info/ski-resort/akmenynu/,150.0,1.1,0.0,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
akoyama,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akoyama/,271.0,0.3,0.2,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
aktiven-skiheis,Europe,Norway,Western Norway (Vestlandet),http://www.skiresort.info/ski-resort/aktiven-skiheis/,540.0,0.5,1.5,0.0,,,,,,260,0,230,Norwegian krone,,,,,,,,,,,,,,,,,,,,,,,,,
al-quaal,North America,USA,Michigan,http://www.skiresort.info/ski-resort/al-quaal/,451.0,0.2,0.2,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
ala-di-stura,Europe,Italy,Piedmont (Piemonte),http://www.skiresort.info/ski-resort/ala-di-stura/,1950.0,3.0,3.0,1.0,,,0.0,0.0,,20,0,0,European Euro,2.0,2.3,2.4,,,,,,,,,,,,,,,,,,0.0,,,,
ala-too-pass,Asia,Kyrgyzstan,,http://www.skiresort.info/ski-resort/ala-too-pass/,0.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
aladag-range,Asia,Turkey,,http://www.skiresort.info/ski-resort/aladag-range/,0.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0.0,
alagna-valsesiagressoney-la-trinitechampolucfrachey-monterosa-ski,Europe,Italy,Aosta Valley (Valle d'Aosta),http://www.skiresort.info/ski-resort/alagna-valsesiagressoney-la-trinitechampolucfrachey-monterosa-ski/,3275.0,23.0,94.0,15.0,0.0,0.0,0.0,0.0,,43,38,30,European Euro,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,0.0,,0.0,,,0.0,
alberschwende-brueggelekopfdresslerbergtannerberg,Europe,Austria,Vorarlberg,http://www.skiresort.info/ski-resort/alberschwende-brueggelekopfdresslerbergtannerberg/,1200.0,5.0,13.0,0.0,,,,0.0,,29.70,23.50,16.40,European Euro,2.3,2.3,1.5,,,,,,,,,,,,,,,,,,,,,,
albiez-montrond,Europe,France,Auvergne-Rhone-Alpes,http://www.skiresort.info/ski-resort/albiez-montrond/,2200.0,25.0,7.0,3.0,,,0.0,0.0,,25.40,0,20.80,European Euro,2.9,3.1,2.7,,,,,,,,,,,,,,,,,,0.0,,,,
albuch-heidenheim-schnaitheim,Europe,Germany,Baden-Wurttemberg,http://www.skiresort.info/ski-resort/albuch-heidenheim-schnaitheim/,580.0,0.6,0.0,0.0,,,,0.0,,12,0,7,European Euro,1.2,1.0,1.4,,,,,,,,,,,,,,,,,0.0,,,,,
aldis-hill-park-st-albans,North America,USA,Vermont,http://www.skiresort.info/ski-resort/aldis-hill-park-st-albans/,150.0,0.2,0.2,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
aldrov-vitkovice-witkowitz,Europe,Czech Republic,Liberec Region (Liberecky kraj),http://www.skiresort.info/ski-resort/aldrov-vitkovice-witkowitz/,733.0,1.0,1.5,0.5,,,0.0,0.0,,450,0,370,Czech koruna,1.5,1.8,2.7,,,,,,,,,,,,,,,,,,,,,,
alebacken,Europe,Sweden,South Sweden (Sydsverige),http://www.skiresort.info/ski-resort/alebacken/,60.0,0.4,0.0,0.0,,,,0.0,,160,0,100,Swedish krona,1.1,1.0,1.4,,,,,,,,,,,,,,,,,0.0,,,,,
